"0x2810","0x2810","MULTIKOM DELTASAT GMBH KG","MULTIKOM DELTASAT GMBH KG","2011-10-26"
"0x4347","0x4347","Crypton","Crypton","2009-03-25"
"0x4348","0x4348","Secure TV, LLC","Secure TV, LLC","2019-04-04"
"0x4700","0x47FF","General Instrument (Motorola)","General Instrument (Motorola)","1970-01-01"
"0x4825","0x4825","ChinaEPG (Beijing) Technology Co., Ltd.","ChinaEPG (Beijing) Technology Co., Ltd.","2014-01-08"
"0x4855","0x4856","Intertrust Cloud Services Corporation ","Intertrust Cloud Services Corporation ","2018-01-29"
"0x4800","0x48FF","Telemann","Telemann","1970-01-01"
"0x4900","0x49FF","CrytoWorks (China) (Irdeto)","CrytoWorks (China) (Irdeto)","2006-03-30"
"0x4A10","0x4A1F","Easycas","Easycas","1970-01-01"
"0x4A20","0x4A2F","AlphaCrypt","AlphaCrypt","1970-01-01"
"0x4A30","0x4A3F","DVN Holdings","DVN Holdings","1970-01-01"
"0x4A40","0x4A4F","Shanghai Advanced Digital Technology Co. Ltd. (ADT)","Shanghai Advanced Digital Technology Co. Ltd. (ADT)","1970-01-01"
"0x4A50","0x4A5F","Shenzhen Kingsky Company (China) Ltd.","Shenzhen Kingsky Company (China) Ltd.","1970-01-01"
"0x4A60","0x4A6F","@Sky","@Sky","2003-02-14"
"0x4A60","0x4A6F","NEOTION SA","NEOTION SA","2013-11-22"
"0x4A70","0x4A7F","Dreamcrypt","Dreamcrypt","1970-01-01"
"0x4A80","0x4A8F","THALESCrypt","THALESCrypt","1970-01-01"
"0x4A90","0x4A9F","Runcom Technologies","Runcom Technologies","1970-01-01"
"0x4AA0","0x4AAF","SIDSA","SIDSA","1970-01-01"
"0x4AB0","0x4ABF","Beijing Compunicate Technology Inc.","Beijing Compunicate Technology Inc.","1970-01-01"
"0x4AC0","0x4ACF","Latens Systems Ltd","Latens Systems Ltd","1970-01-01"
"0x4AD0","0x4AD1","XCrypt Inc.","XCrypt Inc.","1970-01-01"
"0x4AD2","0x4AD3","Beijing Digital Video Technology Co., Ltd.","Beijing Digital Video Technology Co., Ltd.","1970-01-01"
"0x4AD4","0x4AD5","Widevine Technologies, Inc.","Widevine Technologies, Inc.","1970-01-01"
"0x4AD6","0x4AD7","SK Telecom Co., Ltd.","SK Telecom Co., Ltd.","2005-11-03"
"0x4AD8","0x4AD9","Enigma Systems","Enigma Systems","1970-01-01"
"0x4ADA","0x4ADA","Wyplay SAS","Wyplay SAS","2006-04-04"
"0x4ADB","0x4ADB","Jinan Taixin Electronics, Co., Ltd.","Jinan Taixin Electronics, Co., Ltd.","2006-06-16"
"0x4ADC","0x4ADC","LogiWays","LogiWays","2006-09-11"
"0x4ADD","0x4ADD","ATSC System Renewability Message (SRM)","ATSC System Renewability Message (SRM)","2006-11-02"
"0x4ADE","0x4ADE","CerberCrypt","CerberCrypt","2007-03-15"
"0x4ADF","0x4ADF","Caston Co., Ltd.","Caston Co., Ltd.","2007-04-13"
"0x4AE0","0x4AE1","Cifra LLC","Cifra LLC","1970-01-01"
"0x4AE2","0x4AE3","Microsoft Corp.","Microsoft Corp.","1970-01-01"
"0x4AE4","0x4AE4","Coretrust, Inc.","Coretrust, Inc.","2007-05-08"
"0x4AE5","0x4AE5","IK SATPROF","IK SATPROF","2007-04-04"
"0x4AE6","0x4AE6","SypherMedia International","SypherMedia International","2007-05-23"
"0x4AE7","0x4AE7","Guangzhou Ewider Technology Corporation Limited ","Guangzhou Ewider Technology Corporation Limited ","2007-04-27"
"0x4AE8","0x4AE8","FG DIGITAL Ltd.","FG DIGITAL Ltd.","2007-10-26"
"0x4AE9","0x4AE9","Dreamer-i Co., Ltd.","Dreamer-i Co., Ltd.","2007-10-26"
