"0x0000003C","0x0000003C","Lookup S.r.l.","Lookup S.r.l.","2006-02-02"
"0x0000003D","0x0000003D","TiVo Inc.","TiVo Inc.","2006-10-28"
"0x0000003E","0x0000003E","emuse technologies ltd","emuse technologies ltd","2006-03-06"
"0x0000003F","0x0000003F","RTV38 spa","RTV38 spa","2006-04-03"
"0x00000040","0x00000040","MSG Services GmbH","MSG Services GmbH","2002-06-10"
"0x00000041","0x00000041","Music Choice","Music Choice","2007-08-30"
"0x00000042","0x00000042","Digeo, Inc.","Digeo, Inc.","2007-05-23"
"0x00000043","0x00000043","Oberon Media TV Inc.","Oberon Media TV Inc.","2007-09-10"
"0x00000044","0x00000044","Biap Inc.","Biap Inc.","2007-10-18"
"0x00000045","0x00000045","Tandberg Television ","Tandberg Television ","2007-11-12"
"0x00000046","0x00000046","GuideWorks, LLC","GuideWorks, LLC","2007-11-15"
"0x00000047","0x00000047","Navic Networks Inc.","Navic Networks Inc.","2008-01-15"
"0x00000048","0x00000048","Motorola Inc.","Motorola Inc.","2008-01-15"
"0x00000049","0x00000049","ITI Neovision sp z o. o.","ITI Neovision sp z o. o.","2008-04-24"
"0x0000004A","0x0000004A","Liquidus","Liquidus","2008-06-06"
"0x0000004B","0x0000004B","Ensequence, Inc.","Ensequence, Inc.","2008-06-23"
"0x0000004C","0x0000004C","Telecommunication Technology Association (TTA)","Telecommunication Technology Association (TTA)","2008-04-04"
"0x0000004D","0x0000004D","QVC, Inc.","QVC, Inc.","2008-06-27"
"0x0000004E","0x0000004E","The Weather Channel","The Weather Channel","2008-06-26"
"0x0000004F","0x0000004F","Canoe Ventures, LLC","Canoe Ventures, LLC","2008-07-30"
"0x00000050","0x00000050","Turner Broadcasting System, Inc","Turner Broadcasting System, Inc","2008-07-26"
"0x00000051","0x00000051","Munhwa Broadcasting Corp.","Munhwa Broadcasting Corp.","2008-10-01"
"0x00000052","0x00000052","SBS","SBS","2008-07-01"
"0x00000053","0x00000053","Cablevision Systems Corporation","Cablevision Systems Corporation","2008-10-03"
"0x00000054","0x00000054","Charter Communications","Charter Communications","2008-10-30"
"0x00000055","0x00000055","Rogers Communications Inc.","Rogers Communications Inc.","2008-11-11"
"0x00000056","0x00000056","enableTV","enableTV","1970-01-01"
"0x00000057","0x00000057","Profit Group SpA","Profit Group SpA","2009-07-09"
"0x00000058","0x00000058","France Televisions","France Televisions","2009-02-25"
"0x00000059","0x00000059","FreedTV Systems","FreedTV Systems","2009-07-13"
"0x0000005A","0x0000005A","Videotron Ltd","Videotron Ltd","2009-12-18"
"0x0000005B","0x0000005B","icueTV, Inc.","icueTV, Inc.","2010-02-04"
"0x0000005C","0x0000005C","AnixeHD Television GmbH & CoKG","AnixeHD Television GmbH & CoKG","2010-05-07"
"0x0000005D","0x0000005D","vivoTRAK, Inc.","vivoTRAK, Inc.","2010-06-09"
"0x0000005E","0x0000005E","BackChannelMedia, Inc.","BackChannelMedia, Inc.","2010-08-03"
"0x0000005F","0x0000005F","PVI Virtual Media Services","PVI Virtual Media Services","2010-08-09"
"0x00000060","0x00000060","ProsiebenSat1","ProsiebenSat1","2010-08-20"
"0x00000061","0x00000061","Comcast Spotlight","Comcast Spotlight","2010-10-08"
"0x00000062","0x00000062","HSN","HSN","2010-11-04"
"0x00000063","0x00000063","Manyeta, LLC","Manyeta, LLC","2010-11-10"
"0x00000064","0x00000064","ESPN","ESPN","2010-11-23"
"0x00000065","0x00000065","ActiveVideo Networks","ActiveVideo Networks","2011-04-06"
"0x00000066","0x00000066","TF1","TF1","2011-08-26"
"0x00000067","0x00000067","CORPORACION RTVE","CORPORACION RTVE","2011-12-12"
"0x00000068","0x00000068","SBS Broadcasting B.V.","SBS Broadcasting B.V.","2013-02-18"
"0x00000069","0x00000069","DELTA KabelComfort Netten B.V.","DELTA KabelComfort Netten B.V.","2013-06-24"
"0x0000006A","0x0000006C","Groupe M6","Groupe M6","2011-08-29"
"0x0000006F","0x0000006F","Visible World Inc","Visible World Inc","2013-07-30"
"0x00000070","0x00000070","HbbTV Association ","HbbTV Association ","2011-10-07"
"0x0000008A","0x0000008A","Eurosport SAS","Eurosport SAS","2013-05-27"
"0x00000090","0x00000090","DR (Danish Broadcasting Corporation)","DR (Danish Broadcasting Corporation)","2012-02-01"
"0x00000100","0x00000100","Direct Star","Direct Star","2012-01-31"
"0x00000101","0x00000101","Direct 8","Direct 8","2012-01-31"
"0x00000110","0x00000110","SRG SSR","SRG SSR","2012-02-03"
"0x00000120","0x00000120","ARTE FRANCE","ARTE FRANCE","2012-02-13"
"0x00000130","0x00000130","Media Broadcast GmbH","Media Broadcast GmbH","2012-03-20"
"0x00000140","0x0000014F","Free TV Australia","Free TV Australia","2013-09-09"
"0x00000170","0x00000170","Digital TV Group","Digital TV Group","2012-03-09"
"0x00000180","0x00000180","BBC","BBC","2012-05-15"
"0x00000190","0x00000190","Czech Television","Czech Television","2012-06-04"
"0x00000200","0x00000201","NRJ 12","NRJ 12","2012-06-04"
"0x00000210","0x00000210","Czech Digital Group","Czech Digital Group","2013-12-09"
"0x00000220","0x00000220","České Radiokomunikace a.s.","České Radiokomunikace a.s.","2014-01-09"
"0x00000230","0x00000230","digiturk","digiturk","2014-02-11"
"0x00000240","0x00000240","Fransat","Fransat","2014-04-25"
"0x00000250","0x0000025E","Freeview NZ","Freeview NZ","2014-07-01"
"0x00000260","0x00000260","Arqiva","Arqiva","2014-09-02"
"0x00000270","0x00000270","Entertain Screen ","Entertain Screen ","2014-07-04"
"0x00000280","0x00000280","Channel 4 TV","Channel 4 TV","2014-10-15"
"0x00000290","0x00000290","Deutschlandradio","Deutschlandradio","2014-12-02"
"0x000002A0","0x000002A0","Bayerische Medien Technik","Bayerische Medien Technik","2015-01-14"
"0x000002B0","0x000002B0","smartclip AG","smartclip AG","2015-01-22"
"0x000002C0","0x000002C0","MediaCorp Pte Ltd","MediaCorp Pte Ltd","2015-01-26"
"0x000002D0","0x000002D0","ORS comm","ORS comm","2015-04-08"
"0x000002E0","0x000002E0","ITV Consumer Limited","ITV Consumer Limited","2015-04-20"
"0x000002F0","0x000002F0","Juwelo TV Deutschland GmbH","Juwelo TV Deutschland GmbH","2015-06-01"
"0x00000300","0x00000300","NorDig","NorDig","2015-06-22"
"0x00000310","0x00000310","smartstream.tv GmbH","smartstream.tv GmbH","2015-06-22"
"0x00000320","0x00000320","Channel 5 Broadcasting Ltd","Channel 5 Broadcasting Ltd","2015-07-27"
"0x00000330","0x00000330","Scottish Television","Scottish Television","2015-10-23"
"0x00000340","0x00000340","UKTV","UKTV","2015-12-03"
"0x00000350","0x00000350","TV Nova s.r.o. ","TV Nova s.r.o. ","2016-08-03"
"0x00000360","0x00000360","Tivù s.r.l.","Tivù s.r.l.","2016-09-26"
"0x00000361","0x00000361","Tivù s.r.l.","Tivù s.r.l.","2019-03-08"
"0x00000370","0x00000370","Digital UK","Digital UK","2016-10-18"
"0x00000380","0x00000380","KBS","KBS","2016-11-04"
"0x00000390","0x00000390","RTV Slovenia","RTV Slovenia","2016-12-15"
"0x000003A0","0x000003A0","O2 Czech Republic a.s","O2 Czech Republic a.s","2017-02-13"
